119070+2800; HighCO; Equatorial; J2000; 17:50:44.50; +86:28:04.00; LSRK; Radio; 0;N;
119210+2000; HighCO; Equatorial; J2000; 23:06:03.80; +82:06:34.00; LSRK; Radio; 0;N;
120500+2963; HighCO; Equatorial; J2000; 15:32:18.50; +86:42:50.00; LSRK; Radio; 0;N;
120500+1863; HighCO; Equatorial; J2000; 23:50:24.00; +81:13:13.00; LSRK; Radio; 0;N;
121070+2175; HighCO; Equatorial; J2000; 23:39:53.50; +84:22:08.00; LSRK; Radio; 0;N;
121930+1975; HighCO; Equatorial; J2000; 00:22:12.70; +82:34:29.00; LSRK; Radio; 0;N;
122220+1875; HighCO; Equatorial; J2000; 00:32:58.10; +81:36:17.00; LSRK; Radio; 0;N;
122500+2900; HighCO; Equatorial; J2000; 13:37:04.30; +88:05:39.00; LSRK; Radio; 0;N;
123500+1963; HighCO; Equatorial; J2000; 01:07:48.80; +82:29:02.00; LSRK; Radio; 0;N;
123360+2075; HighCO; Equatorial; J2000; 01:05:50.00; +83:36:59.00; LSRK; Radio; 0;N;
125070+1950; HighCO; Equatorial; J2000; 01:50:55.20; +82:07:42.00; LSRK; Radio; 0;N;
125220+3250; HighCO; Equatorial; J2000; 11:32:32.90; +84:16:42.00; LSRK; Radio; 0;N;
125500+2200; HighCO; Equatorial; J2000; 02:31:34.00; +84:22:33.00; LSRK; Radio; 0;N;
126500+3250; HighCO; Equatorial; J2000; 10:55:06.00; +83:48:07.00; LSRK; Radio; 0;N;
127500+2088; HighCO; Equatorial; J2000; 03:10:13.30; +82:29:30.00; LSRK; Radio; 0;N;
142210+2325; HighCO; Equatorial; J2000; 06:18:19.10; +72:09:36.00; LSRK; Radio; 0;N;
143000+3850; HighCO; Equatorial; J2000; 09:28:08.80; +69:44:30.00; LSRK; Radio; 0;N;
143360+2425; HighCO; Equatorial; J2000; 06:34:08.30; +71:23:34.00; LSRK; Radio; 0;N;
146070+1775; HighCO; Equatorial; J2000; 05:35:54.00; +66:42:05.00; LSRK; Radio; 0;N;
146200+3963; HighCO; Equatorial; J2000; 09:26:49.60; +67:00:30.00; LSRK; Radio; 0;N;
146930+2075; HighCO; Equatorial; J2000; 06:07:15.70; +67:12:05.00; LSRK; Radio; 0;N;
147000+4038; HighCO; Equatorial; J2000; 09:30:54.70; +66:07:51.00; LSRK; Radio; 0;N;
147200+4075; HighCO; Equatorial; J2000; 09:33:29.00; +65:49:44.00; LSRK; Radio; 0;N;
148200+3863; HighCO; Equatorial; J2000; 09:11:26.00; +65:59:15.00; LSRK; Radio; 0;N;
148210+2350; HighCO; Equatorial; J2000; 06:37:51.10; +66:54:20.00; LSRK; Radio; 0;N;
151500+1925; HighCO; Equatorial; J2000; 06:04:14.40; +62:39:35.00; LSRK; Radio; 0;N;
153640+1925; HighCO; Equatorial; J2000; 06:15:16.60; +60:47:15.00; LSRK; Radio; 0;N;
156540+3513; HighCO; Equatorial; J2000; 08:27:26.10; +60:18:14.00; LSRK; Radio; 0;N;
156640+3250; HighCO; Equatorial; J2000; 08:01:55.40; +60:32:04.00; LSRK; Radio; 0;N;
119380+3967; LowCO; Equatorial; J2000; 13:40:49.90; +77:07:34.0; LSRK; Radio; 0;N;
122290+4133; LowCO; Equatorial; J2000; 12:59:17.60; +75:47:31.0; LSRK; Radio; 0;N;
131430+4667; LowCO; Equatorial; J2000; 11:44:37.50; +69:20:42.0; LSRK; Radio; 0;N;
132220+3167; LowCO; Equatorial; J2000; 08:57:33.30; +80:43:56.0; LSRK; Radio; 0;N;
134570+3400; LowCO; Equatorial; J2000; 09:30:39.10; +77:52:18.0; LSRK; Radio; 0;N;
137160+4300; LowCO; Equatorial; J2000; 10:42:00.50; +70:22:49.0; LSRK; Radio; 0;N;
150120+4067; LowCO; Equatorial; J2000; 09:24:05.80; +63:51:19.0; LSRK; Radio; 0;N;
155670+2133; LowCO; Equatorial; J2000; 06:36:11.70; +59:41:03.0; LSRK; Radio; 0;N;
157350+2200; LowCO; Equatorial; J2000; 06:44:43.10; +58:23:15.0; LSRK; Radio; 0;N;
