l,b,Total Av [mag],Distance of Max Av [pc],FWHM [pc],Column Density [cm^-2],Volume Density [cm^-3],Max Av [mag]
125.22,32.5,1.4197558141538469,[336.33762518],17.04479554007213,1.178397325747693e+22,224.05230024857124,
146.07,17.75,1.5881705458679756,[201.14449213],4.513693013306354,1.3181815530704196e+22,946.4390831021452,
151.5,19.25,0.6213198650035685,[179.1130186],10.23484141993434,5.156954879529618e+21,163.29078179587336,
156.54,35.13,0.4275024427749855,[238.19742489],10.927035402671097,3.5482702750323803e+21,105.23587045270344,
147.2,40.75,0.948917804142363,[201.14449213],8.805222897906255,7.876017774381614e+21,289.87835495431864,
148.21,23.5,0.5434880057049606,[179.1130186],16.615095133475673,4.510950447351173e+21,87.98622378051567,
125.5,22.0,0.8677557778947547,[283.26180258],15.709147695329742,7.202372956526464e+21,148.5841343213318,
143.0,38.5,1.0822866996149625,[356.36623748],7.786993199257569,8.982979606804189e+21,373.8523140100815,
119.21,20.0,0.5314753329582046,[300.28612303],12.939459368572814,4.411245263553098e+21,110.4827634878166,
137.16,43.0,0.1278269200023819,[169.09871245],6.5282309684161,1.06096343601977e+21,52.6689136298256,
120.5,29.63,0.5284816997667412,[336.33762518],10.189695895044972,4.386398108063952e+21,139.50708922318492,
125.07,19.5,0.6230075891752304,[267.23891273],21.377316869581477,5.170962990154412e+21,78.39126803055996,
119.07,28.0,0.8390057008569577,[356.36623748],13.029773477500322,6.963747317112749e+21,173.20307310938972,
142.21,23.25,0.6089380971786095,[201.14449213],16.729626121847062,5.054186206582459e+21,97.90716100880444,
120.5,18.63,0.8319561455390017,[283.26180258],13.833790367460526,6.905236007973714e+21,161.76583025288895,
150.12,40.67,0.0634531328887722,[213.16165951],10.50265073454408,5.266610029768093e+20,16.251059986137232,
156.64,32.5,1.1055017254809218,[300.28612303],6.599661733089217,9.175664321491652e+21,450.5731369668933,
123.5,19.63,0.7768054889596471,[356.36623748],48.71886579166471,6.447485558365071e+21,42.88867839389655,
121.93,19.75,0.2916624740455761,[267.23891273],6.506198577463093,2.4207985345782816e+21,120.58152946566848,
148.2,38.63,0.7843172025948207,[336.33762518],10.614757871118464,6.509832781537012e+21,198.7509419649927,
127.5,20.88,0.8689553966531793,[423.4620887],18.72348335773737,7.212329792221389e+21,124.83557985813933,
147.0,40.38,0.5777570777146467,[225.1788269],13.369892507635464,4.795383745031567e+21,116.23713741124855,
146.2,39.63,0.8607415748889047,[225.1788269],4.901029073690282,7.144155071577909e+21,472.4034370829715,
122.22,18.75,0.3770413335047196,[300.28612303],13.0167095430924,3.129443068089173e+21,77.9139631946432,
121.07,21.75,1.286214467911039,[300.28612303],11.611080191883444,1.0675580083661624e+22,297.967099237847,
146.93,20.75,0.505389553111163,[225.1788269],9.83978697890636,4.194733290822653e+21,138.15547839381966,
