l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),integral,integral error,Cloud,Upper Limit
150120,4067,HI,1,10.608965657612137,0.2619626103742228,1.2215813349677869,0.1480026897292754,5.19274567565465,0.148060132959656,118.14144000000007,3.256636907173667,Ursa Major,F
150120,4067,67,1,0.0033966856094212,0.0014881318875026,-3.658920805171506,1.6113348061617077,3.183562980733356,1.6113348091674804,0.023557603162583,0.0067759720783777,Ursa Major,F
150120,4067,65,1,0.0024658181571455,0.0011263523048059,1.3382154549862904,2.9350091601744888,5.5673517342788985,2.9350091426002187,0.0370564246536067,0.0098721807838146,Ursa Major,F
150120,4067,CO,1,0.0243206591820169,0.0001399225276254,0.0004999433282492,0.002413949147214,0.0845555397675909,0.0005949372679515,0.0,0.0,Ursa Major,F
119210,2000,HI,1,25.239004289845727,0.5663684127837265,-11.563658427817009,0.1080953026227958,2.9042882530031493,0.0982457275600359,213.0867200000002,1.8725141507633185,Polaris,F
119210,2000,HI,2,21.24154106765002,0.4691579602725013,-1.5323792953824238,0.1567579695329243,4.097697411372685,0.1658278834117237,252.2534400000002,2.238082484375814,Polaris,F
119210,2000,HI,3,4.44913224904529,0.2167832196639845,-23.84566511536778,1.50735762767578,24.66551276296913,1.1532419835172154,631.0400000000005,5.390016382149959,Polaris,F
119210,2000,67,1,0.0148402139721656,0.0016291907113657,-2.937418195443447,0.619626146501447,2.8972683683928437,0.5164890471873163,0.1550271772369399,0.0089627980846216,Polaris,F
119210,2000,67,2,0.0380545788800279,0.0040903297488376,0.6252618725429513,0.0723612332139883,0.7479777518534041,0.0980924656813386,0.0704039576531667,0.0042251035360278,Polaris,F
119210,2000,67,3,0.003226775393121,0.2167832196639845,0.9258776944653704,1.50735762767578,0.9258776944653704,1.1532419835172154,0.009348834278398,0.0016665941482805,Polaris,T
119210,2000,65,1,0.0155421781602996,0.0022365604326177,0.6954690735196458,0.2345128071114326,1.4116493047211265,0.234512788695915,0.0469828445751672,0.0054948662215072,Polaris,F
119210,2000,65,2,0.0026509922837415,0.4691579602725013,-2.937418195443447,0.1567579695329243,2.8972683683928437,0.1658278834117237,0.0037422714141647,0.0006216915932715,Polaris,T
119210,2000,65,3,0.0026509922837415,0.2167832196639845,-2.937418195443447,1.50735762767578,2.8972683683928437,1.1532419835172154,0.0037422714141647,0.0006216915932715,Polaris,T
119210,2000,CO,1,0.6407176408811962,0.1440636421717098,0.6500005661928825,0.1901469176406251,0.732573060230544,0.1903455553898348,1.0913023137435272,0.1677202886121191,Polaris,F
119210,2000,CO,2,0.1289759217257142,0.4691579602725013,0.6954690735196458,0.1567579695329243,1.4116493047211265,0.1658278834117237,0.0944842856746615,0.0245499934527969,Polaris,T
119210,2000,CO,3,0.1289759217257142,0.2167832196639845,0.6954690735196458,1.50735762767578,1.4116493047211265,1.1532419835172154,0.0944842856746615,0.0245499934527969,Polaris,T
137160,4300,HI,1,2.5920798960925757,0.1587097721909424,3.875292499289271e-16,0.8080435691985242,10.876015274590909,0.658175565963318,107.8246400000001,2.0226826058726397,Ursa Major,F
137160,4300,HI,2,11.21861235726119,0.3570249125160563,7.84903454381455,0.0614046235946807,1.7560824042698964,0.0696531246521451,58.478080000000055,0.9045711607275272,Ursa Major,F
137160,4300,67,1,0.0100486469215805,0.0029256784696946,8.702887201017566,0.2770822653384838,0.8235885239700821,0.2767420696266033,0.0188392955119935,0.0034215571532793,Ursa Major,F
137160,4300,67,2,0.0021334611434711,0.3570249125160563,0.925930593832831,0.0614046235946807,0.925930593832831,0.0696531246521451,0.0017570941140989,0.0005904184523121,Ursa Major,T
137160,4300,65,1,0.0031012246115352,0.0020814335669311,-1.0088494264114714,1.2630510002828923,1.6297545207279107,1.2630510328903668,0.0119303338831532,0.0047804976679523,Ursa Major,F
137160,4300,65,2,0.0023062141810665,0.3570249125160563,8.702887201017566,0.0614046235946807,0.8235885239700821,0.0696531246521451,0.00375856298736,0.0029128662034625,Ursa Major,T
137160,4300,CO,1,0.0243206591820169,0.0001399225276254,0.0004999433282492,0.002413949147214,0.0845555397675909,0.0005949372679515,0.0,0.0,Ursa Major,F
137160,4300,CO,2,0.0,0.3570249125160563,-1.0088494264114714,0.0614046235946807,1.6297545207279107,0.0696531246521451,0.0,0.0,Ursa Major,T
121070,2175,HI,1,9.199664535669353,0.5149938544130982,-2.7958718941283944,0.1349511532080087,2.573754891110584,0.1726217968509001,120.49280000000012,0.5912364629750494,Polaris,F
121070,2175,HI,2,9.894462769523717,0.4149837509719484,-6.992080674564437,0.3014073937369656,9.14690504309192,0.2534338905126387,252.31488000000024,1.132131633492578,Polaris,F
121070,2175,67,1,0.1221564452766914,0.0050567095792319,-6.0002565477647085,0.0232900196876643,0.6661335402850778,0.0461693008340827,0.1997377554856156,0.0036515888806026,Polaris,F
121070,2175,67,2,0.0366671421345899,0.0019352861355184,-3.0121396680350565,0.2877389570199582,2.051273274304142,0.2466190500921262,0.279768858167901,0.0068314972542842,Polaris,F
121070,2175,65,1,0.0004748644856195,0.0,1.3336812923228356,0.0,0.003219946695911,0.0,0.0,0.0,Polaris,F
121070,2175,65,2,0.0773460634805808,0.0030649765457938,-5.7947573764973415,0.0341120141260051,0.6764816639856029,0.0295389078759241,0.1069265996910965,0.0031229239419185,Polaris,F
121070,2175,CO,1,3.8612633332971513,0.2744072867004141,-6.122721862077295,0.043056779193461,0.7804938804590059,0.0486765283889473,7.105253921118902,0.1453579418588643,Polaris,F
121070,2175,CO,2,1.9359188044269544,0.0919770189896364,-3.4162232071316643,0.2341359143861491,1.6503859084863868,0.1963826348123174,9.83955387664714,0.2373685250769078,Polaris,F
125500,2200,HI,1,6.079098072350323,0.2426004456157155,-9.139407135092547,0.5543556029959049,16.841553433293623,0.536623107313318,347.5084800000003,1.070702412791667,Polaris,F
125500,2200,HI,2,14.435098573327624,0.3776982517883055,-2.672340732848166,0.0923628991984136,3.392014130118805,0.1114423883045537,161.11872000000014,0.4849327009628845,Polaris,F
125500,2200,67,1,0.056399800147894,0.0043323482808089,-4.709768195379755,0.0550142838225133,0.7396353369202147,0.0600185980572332,0.1345186510171688,0.0033468060580576,Polaris,F
125500,2200,67,2,0.0162385663532124,0.0031110298198018,-3.185540010637361,0.4768084617691375,2.4745959342149586,0.3344868702128684,0.1904769673936488,0.0054653114068645,Polaris,F
125500,2200,65,1,0.0094686809453161,0.0031817081632875,-3.344340436736008,0.751516647270085,2.2056019763563377,0.5357566167484428,0.0909660585212423,0.0048626131166581,Polaris,F
125500,2200,65,2,0.0295004035862502,0.0045326378181691,-4.582642765031259,0.1036839384809829,0.5943752889626773,0.1248889953774972,0.0546437002369231,0.0025991760409953,Polaris,F
125500,2200,CO,1,2.4370014910455207,0.0951206956539447,-4.804517678089748,0.0388526731182833,0.9110505652841152,0.0430818318944768,4.79079012112999,0.0727014525450736,Polaris,F
125500,2200,CO,2,0.0395443769974874,0.3776982517883055,-3.344340436736008,0.0923628991984136,2.2056019763563377,0.1114423883045537,0.0360269270173691,0.0017036442021775,Polaris,T
127500,2088,HI,1,16.973267879295282,0.2473008564232103,6.196844044744593,0.1356491637162147,4.078035083963224,0.123678546172559,196.19968000000011,0.4340480501376031,Polaris,F
127500,2088,HI,2,11.197018354872274,0.1733587209436098,-13.794744448012317,0.2982936974540285,7.50859806230276,0.2690804648434661,250.39360000000025,0.5659294184861163,Polaris,F
127500,2088,HI,3,24.285442485789765,0.6016010225145115,-2.632000865239618,0.0665707670717448,2.6691369961263995,0.0721928692440652,185.48480000000012,0.3362121739273477,Polaris,F
127500,2088,67,1,0.0490943172587876,0.0025177697471628,-1.0984563975718198,0.0901819420922391,1.7378633254431746,0.1108325222478526,0.1971928450777313,0.0052403241478736,Polaris,F
127500,2088,67,2,0.0066353541425215,0.0015984271603953,3.496525889801593,1.835254975331836,6.693870424218802,1.2832477831495084,0.3116412022782037,0.010739468708186,Polaris,F
127500,2088,67,3,0.0025311405460828,0.6016010225145115,0.9258846599342974,0.0665707670717448,0.9258846599342974,0.0721928692440652,0.0043987763265795,0.0002805326908861,Polaris,T
127500,2088,65,1,0.0051582019535971,0.0015797769171763,9.148050728167352,1.037265837798695,2.8997824077438974,1.0870215078201666,0.0334237031577532,0.006791980285132,Polaris,F
127500,2088,65,2,0.0257905965527631,0.0018076482562491,-1.390440215120598,0.1812350525972262,-1.390440215120598,0.1866482482333973,0.1221629041236705,0.005989963581371,Polaris,F
127500,2088,65,3,0.0024423518919818,0.6016010225145115,-1.0984563975718198,0.0665707670717448,1.7378633254431746,0.0721928692440652,0.0070822890498888,0.0070822890498888,Polaris,T
127500,2088,CO,1,2.5980151080131373,0.1030589352075738,-0.6108912180699116,0.0590026089350211,1.288129371740789,0.0590026092257933,7.393872087396136,0.2165310958390208,Polaris,F
127500,2088,CO,2,0.135955782387799,0.1733587209436098,9.148050728167352,0.2982936974540285,2.8997824077438974,0.2690804648434661,0.1751286365517229,0.0080217459002143,Polaris,T
127500,2088,CO,3,0.135955782387799,0.6016010225145115,9.148050728167352,0.0665707670717448,2.8997824077438974,0.0721928692440652,0.1751286365517229,0.0080217459002143,Polaris,T
142210,2325,HI,1,14.290681534198184,0.2833589564505844,-3.126088802715755,0.1100259775883562,8.025418891403072,0.1479167321429716,340.1139200000003,0.6614186926117894,Camelopardalis,F
142210,2325,HI,2,19.395986878968625,0.3845629276791917,-1.3307613106697735,0.0333075503789773,1.744757702176405,0.0427564205953364,145.19808000000015,0.3117957618328912,Camelopardalis,F
142210,2325,HI,3,0.818782401941895,0.0957866772965281,-28.850740928922143,5.007793859983327,36.47007529705375,3.87794125533089,435.8924800000004,1.4288276799656474,Camelopardalis,F
142210,2325,67,1,0.0848634288284676,0.0028972354670048,-2.042812760986392,0.0328814278779934,0.8203336410046922,0.0318699611287073,0.1584682904649681,0.0041341438564231,Camelopardalis,F
142210,2325,67,2,0.0025779302510502,0.3845629276791917,0.925878063381333,0.0333075503789773,0.925878063381333,0.0427564205953364,0.0021147629091001,8.215853689348885e-05,Camelopardalis,T
142210,2325,67,3,0.0025779302510502,0.0957866772965281,0.925878063381333,5.007793859983327,0.925878063381333,3.87794125533089,0.0021147629091001,8.215853689348885e-05,Camelopardalis,T
142210,2325,65,1,0.0436490484305546,0.0029165635999667,-1.9558680424729744,0.0631167663820194,0.7895289488890045,0.059131947629355,0.0798733692133254,0.0041048221899749,Camelopardalis,F
142210,2325,65,2,0.0025566418355384,0.3845629276791917,-2.042812760986392,0.0333075503789773,0.8203336410046922,0.0427564205953364,0.0020185427410983,0.000151179211126,Camelopardalis,T
142210,2325,65,3,0.0025566418355384,0.0957866772965281,-2.042812760986392,5.007793859983327,0.8203336410046922,3.87794125533089,0.0020185427410983,0.000151179211126,Camelopardalis,T
142210,2325,CO,1,2.504879077207416,0.1312680473888467,-2.169309616813314,0.0430531919215003,0.7110518781970077,0.0430114526656885,3.731103057748129,0.1709537302699054,Camelopardalis,F
142210,2325,CO,2,0.1518020612287198,0.3845629276791917,-1.9558680424729744,0.0333075503789773,0.7895289488890045,0.0427564205953364,0.1079391407508584,0.006529227171093,Camelopardalis,T
142210,2325,CO,3,0.1518020612287198,0.0957866772965281,-1.9558680424729744,5.007793859983327,0.7895289488890045,3.87794125533089,0.1079391407508584,0.006529227171093,Camelopardalis,T
120500,1863,HI,1,1.3432308396270982,0.2315214223124713,-11.999999999999998,5.924517326327809,48.60140016626849,7.853126637103879,634.3756800000007,9.088538059059315,Polaris,F
120500,1863,HI,2,19.62523369081368,0.4368397186700328,-8.71423244613206,0.2538575886987655,7.420977421015418,0.2275302960515374,456.4736000000003,3.52516353586194,Polaris,F
120500,1863,HI,3,28.07798484579334,0.8844318705404473,-0.9727103397610044,0.0536907132885419,1.7934954429657404,0.0697266123907526,167.73888000000014,1.7099554830511303,Polaris,F
120500,1863,67,1,0.098977785392625,0.0026650413381547,-0.888052585196258,0.0308516671093431,0.9912284154861792,0.0307828449173048,0.2063742154039601,0.0039357592576489,Polaris,F
120500,1863,67,2,0.0024542275677647,0.4368397186700328,0.9258765147597074,0.2538575886987655,0.9258765147597074,0.2275302960515374,0.0024327001032379,7.554810661027538e-05,Polaris,T
120500,1863,67,3,0.0024542275677647,0.8844318705404473,0.9258765147597074,0.0536907132885419,0.9258765147597074,0.0697266123907526,0.0024327001032379,7.554810661027538e-05,Polaris,T
