,Unnamed: 0,l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),integral,integral error,Cloud,Upper Limit
0,1,119070,2800,HI,1,25.10894360221049,0.2622386048204895,-4.629767143440004,0.0210054798583083,1.8477561151715816,0.0241230737767588,128.0819200000001,0.2907896772449873,Polaris,F
1,2,119070,2800,HI,2,6.805908443979575,0.1341989151004275,-9.986011012557324,0.2182562002568139,11.427903426806012,0.2007208479553088,281.4054400000002,0.7554937429573102,Polaris,F
2,3,119070,2800,67,1,0.0866019318964417,0.0025284514938861,-4.358240960713977,0.0371915561414213,1.1032388441739311,0.0372013718369938,0.2157333213487888,0.0040113705273138,Polaris,F
3,4,119070,2800,67,2,0.0021662414370627,0.1341989151004275,0.9258826044692654,0.2182562002568139,0.9258826044692654,0.2007208479553088,0.0023898816992268,8.058715318887603e-05,Polaris,T
4,5,119070,2800,65,1,0.0435202080527054,0.0025558291780383,-4.251789900060459,0.0733040393352687,1.081163933740526,0.0733357008142711,0.1066625459490052,0.0049278167800448,Polaris,F
5,6,119070,2800,65,2,0.0026580221489704,0.1341989151004275,-4.358240960713977,0.2182562002568139,1.1032388441739311,0.2007208479553088,0.0028737576825503,0.0001949279170746,Polaris,T
6,7,119070,2800,CO,1,1.6130650970677138,0.1255581321308835,-3.7797793146326337,0.0778230006815694,0.8657993140609289,0.0778234420294313,2.944761288975404,0.1917615125684714,Polaris,F
7,8,119070,2800,CO,2,0.1474634824426875,0.1341989151004275,-4.251789900060459,0.2182562002568139,1.081163933740526,0.2007208479553088,0.1276737819479147,0.0114761157773365,Polaris,T
0,1,119210,2000,HI,1,21.241550492410287,0.4691575096469926,-1.532375824207412,0.1567580491234561,4.097694462183632,0.1658277309892255,252.2534400000002,2.238082484375814,Polaris,F
1,2,119210,2000,HI,2,25.23901583152884,0.5663675160146407,-11.563657813455867,0.1080955218317095,2.9042936527750123,0.0982458756786484,213.0867200000002,1.8725141507633185,Polaris,F
2,3,119210,2000,HI,3,4.449115108920255,0.2167823093944561,-23.845753616383284,1.507363522917917,24.66562374615458,1.1532481013577494,631.0400000000005,5.390016382149959,Polaris,F
3,4,119210,2000,67,1,0.0148402120191219,0.0016291904911249,-2.9374164886887466,0.6196259687269648,2.8972707876502475,0.5164884922636579,0.1550271772369399,0.0089627980846216,Polaris,F
4,5,119210,2000,67,2,0.0380545692064195,0.0040903266771011,0.6252618390977065,0.0723612445170541,0.7479774602006768,0.0980924269512195,0.0704039576531667,0.0042251035360278,Polaris,F
5,6,119210,2000,67,3,0.003226775393121,0.2167823093944561,0.9258776944653704,1.507363522917917,0.9258776944653704,1.1532481013577494,0.0093488420847983,0.0016665923576665,Polaris,T
6,7,119210,2000,65,1,0.0155421781309005,0.0022365604383207,0.6954690559326846,0.2345128040539941,1.4116493048628074,0.234512789261069,0.0469828445751672,0.0054948662215072,Polaris,F
7,8,119210,2000,65,2,0.0026509922837415,0.5663675160146407,-2.9374164886887466,0.1080955218317095,2.8972707876502475,0.0982458756786484,0.0037422714145403,0.0006216915947697,Polaris,T
8,9,119210,2000,65,3,0.0026509922837415,0.2167823093944561,-2.9374164886887466,1.507363522917917,2.8972707876502475,1.1532481013577494,0.0037422714145403,0.0006216915947697,Polaris,T
9,10,119210,2000,CO,1,0.6407176407210732,0.1440636423514258,0.6500005653820804,0.1901469164658256,0.732573057230744,0.1903455559624781,1.0913023137435272,0.1677202886121191,Polaris,F
10,11,119210,2000,CO,2,0.1289759217257142,0.5663675160146407,0.6954690559326846,0.1080955218317095,1.4116493048628074,0.0982458756786484,0.0944842852877595,0.0245499935266541,Polaris,T
11,12,119210,2000,CO,3,0.1289759217257142,0.2167823093944561,0.6954690559326846,1.507363522917917,1.4116493048628074,1.1532481013577494,0.0944842852877595,0.0245499935266541,Polaris,T
0,1,120500,1863,HI,1,16.151980441989014,1.1533447542184303,-9.055388694363776,0.3779078335370421,9.278405850053623,0.3372375782091872,501.90080000000046,3.918000218043291,Polaris,F
1,2,120500,1863,HI,2,29.35127171171071,1.0586916770033603,-1.140389055205738,0.0613171975371621,1.9477109844550688,0.0817025675918861,200.87296000000015,1.9117883493004089,Polaris,F
2,3,120500,1863,HI,3,7.999107455239032,1.2019064228371603,-9.83229240646786,0.2099212836022226,1.8888190281563375,0.3232426033610055,111.8976000000001,1.7099554830511303,Polaris,F
3,4,120500,1863,67,1,0.0989777854009669,0.0026650413395398,-0.8880525864928583,0.0308516672062686,0.9912284154479616,0.0307828448981622,0.2063742154039601,0.0039357592576489,Polaris,F
4,5,120500,1863,67,2,0.0024542275677647,1.0586916770033603,0.9258765147597074,0.0613171975371621,0.9258765147597074,0.0817025675918861,0.0024327001031441,7.554810656329516e-05,Polaris,T
5,6,120500,1863,67,3,0.0024542275677647,1.2019064228371603,0.9258765147597074,0.2099212836022226,0.9258765147597074,0.3232426033610055,0.0024327001031441,7.554810656329516e-05,Polaris,T
6,7,120500,1863,65,1,0.0566654707029449,0.0028268707502553,-0.8060044063543905,0.0508773560522968,0.882484571837117,0.0507947499194311,0.1131692732781215,0.0039254562532732,Polaris,F
7,8,120500,1863,65,2,0.0024449298906537,1.0586916770033603,-0.8880525864928583,0.0613171975371621,0.9912284154479616,0.0817025675918861,0.0021576129077253,0.0001241896023662,Polaris,T
8,9,120500,1863,65,3,0.0024449298906537,1.2019064228371603,-0.8880525864928583,0.2099212836022226,0.9912284154479616,0.3232426033610055,0.0021576129077253,0.0001241896023662,Polaris,T
9,10,120500,1863,CO,1,2.971227893363709,0.1362127010742051,-0.8137248095098852,0.0365666072250141,0.6907550779385594,0.0365648766307289,4.413614504567724,0.1292197937983647,Polaris,F
