,Unnamed: 0,l (deg),b (deg),line,comp,T_peak (K),T_error (K),CenterVel (km/s),CenterVel_error (km/s),FWHM (km/s),FWHM error (km/s),Cloud
0,1,119070,2800,HI,1,25.10894360221049,0.2622386048204895,-4.629767143440004,0.0210054798583083,1.8477561151715816,0.0241230737767588,Polaris
1,2,119070,2800,HI,2,6.805908443979575,0.1341989151004275,-9.986011012557324,0.2182562002568139,11.427903426806012,0.2007208479553088,Polaris
2,3,119070,2800,67,1,0.0866019319036589,0.0020943159782651,-4.358240960633961,0.0308057603050586,1.103238844228861,0.030813890490357,Polaris
3,4,119070,2800,67,2,0.0021289007902269,0.0,-4.629767143440004,0.0,1.8477561151715816,0.0,Polaris
4,5,119070,2800,65,1,0.0435202080436106,0.002105892490207,-4.251789900253063,0.0603993519485021,1.0811639333720031,0.0604254396513688,Polaris
5,6,119070,2800,65,2,0.0026426589195468,0.0,-4.629767143440004,0.0,1.8477561151715816,0.0,Polaris
6,7,119070,2800,CO,1,1.6130650970677138,0.1255581321308835,-3.7797793146326337,0.0778230006815694,0.8657993140609289,0.0778234420294313,Polaris
7,8,119070,2800,CO,2,0.1362360728468196,0.0,-4.251789900253063,0.0,1.0811639333720031,0.0,Polaris
0,1,119210,2000,HI,1,25.231411790196105,0.5528438449374938,-11.512670371153904,0.1127927231492464,3.0000000000000124,0.1024987228767798,Polaris
1,2,119210,2000,HI,2,21.26795867730434,0.4718988277351248,-1.436886122891772,0.1577708419929067,4.015096809381522,0.1643816038866414,Polaris
2,3,119210,2000,HI,3,4.384095668338428,0.2164402816058619,-24.03141028637636,1.531909166671887,24.92626152241924,1.1770093400389208,Polaris
3,4,119210,2000,67,1,0.0138020440635496,0.0018356571270101,-3.734233593297697,0.7078658846736087,2.4947653380839614,0.6923343378239983,Polaris
4,5,119210,2000,67,2,0.0376132474226762,0.004252303622709,0.560001651708164,0.105355820742771,1.0000000000000002,0.1239472569281113,Polaris
5,6,119210,2000,67,3,0.0031499215827121,0.0,-11.512670371153904,0.0,3.0000000000000124,0.0,Polaris
6,7,119210,2000,65,1,0.0155421781396562,0.0023131242785735,0.6954690546060373,0.2425408506069965,1.4116493062932025,0.2425408330699048,Polaris
7,8,119210,2000,65,2,0.0024100874562337,0.0,-11.512670371153904,0.0,3.0000000000000124,0.0,Polaris
8,9,119210,2000,65,3,0.0024100874562337,0.0,-1.436886122891772,0.0,4.015096809381522,0.0,Polaris
9,10,119210,2000,CO,1,0.6407176407210732,0.1440636423514258,0.6500005653820804,0.1901469164658256,0.732573057230744,0.1903455559624781,Polaris
10,11,119210,2000,CO,2,0.140985247287138,0.0,0.6954690546060373,0.0,1.4116493062932025,0.0,Polaris
11,12,119210,2000,CO,3,0.140985247287138,0.0,0.6954690546060373,0.0,1.4116493062932025,0.0,Polaris
0,1,120500,1863,HI,1,16.151980441989014,1.1533447542184303,-9.055388694363776,0.3779078335370421,9.278405850053623,0.3372375782091872,Polaris
1,2,120500,1863,HI,2,29.35127171171071,1.0586916770033603,-1.140389055205738,0.0613171975371621,1.9477109844550688,0.0817025675918861,Polaris
2,3,120500,1863,HI,3,7.999107455239032,1.2019064228371603,-9.83229240646786,0.2099212836022226,1.8888190281563375,0.3232426033610055,Polaris
3,4,120500,1863,67,1,0.0989777854047042,0.0023079183478355,-0.8880525859830407,0.0267174573923887,0.991228415339591,0.0266578576524061,Polaris
4,5,120500,1863,67,2,0.0025336118719803,0.0,-9.055388694363776,0.0,9.278405850053623,0.0,Polaris
5,6,120500,1863,67,3,0.0025336118719803,0.0,-1.140389055205738,0.0,1.9477109844550688,0.0,Polaris
6,7,120500,1863,65,1,0.0566654706875175,0.0025976291810984,-0.8060044064489704,0.0467515209365878,0.8824845717109284,0.0466756130565245,Polaris
7,8,120500,1863,65,2,0.002528261482565,0.0,-9.055388694363776,0.0,9.278405850053623,0.0,Polaris
8,9,120500,1863,65,3,0.002528261482565,0.0,-1.140389055205738,0.0,1.9477109844550688,0.0,Polaris
9,10,120500,1863,CO,1,2.971227893363709,0.1362127010742051,-0.8137248095098852,0.0365666072250141,0.6907550779385594,0.0365648766307289,Polaris
10,11,120500,1863,CO,2,0.1177623946945676,0.0,-0.8060044064489704,0.0,0.8824845717109284,0.0,Polaris
11,12,120500,1863,CO,3,0.1177623946945676,0.0,-0.8060044064489704,0.0,0.8824845717109284,0.0,Polaris
0,1,120500,2963,HI,1,7.081241823941692,0.9863267972979244,-7.097378069674854,0.0881632833645061,1.2619959931530882,0.1579816186449571,Polaris
1,2,120500,2963,HI,2,18.835690063858102,0.3995002399769652,-3.1279038139573605,0.163236358480011,3.3125187903659645,0.12391709401316,Polaris
2,3,120500,2963,HI,3,4.760324750231943,0.1734093450803134,-12.611325624751984,0.5670411018276615,15.075729908593626,0.4268195899833872,Polaris
3,4,120500,2963,67,1,0.0302040494566935,0.0032888307869239,-6.391249381025801,0.0761620316026895,0.6270511074087123,0.0898584314036746,Polaris
4,5,120500,2963,67,2,0.0145727177572614,0.0013648865638727,-3.1857364472919247,0.4657285052685714,3.04193697154761,0.3751179320451216,Polaris
5,6,120500,2963,67,3,0.0021428090315372,0.0,4.9754435710814215,0.0,0.0255244379266912,0.0,Polaris
6,7,120500,2963,65,1,-0.0832656057170447,0.0059333273944239,-8.052768979111692,0.0575909495650449,0.1761468543720099,0.0203929195473496,Polaris
7,8,120500,2963,65,2,0.0028073883431659,0.0,-7.097378069674854,0.0,1.2619959931530882,0.0,Polaris
8,9,120500,2963,65,3,0.0028073883431659,0.0,-3.1279038139573605,0.0,3.3125187903659645,0.0,Polaris
9,10,120500,2963,CO,1,1.4753307838057006,0.1281053229721751,-6.307529097636788,0.0570405912197669,0.5634383473409896,0.0560810364519791,Polaris
10,11,120500,2963,CO,2,0.1297643430451722,0.0,-8.052768979111692,0.0,0.1761468543720099,0.0,Polaris
11,12,120500,2963,CO,3,0.1297643430451722,0.0,-8.052768979111692,0.0,0.1761468543720099,0.0,Polaris
0,1,121930,1975,HI,1,19.510652526169256,1.101174293621994,-0.6125837470986736,0.3038699070768696,3.564322482285116,0.2547447908475643,Polaris
1,2,121930,1975,HI,2,18.323956682710325,0.6573233241529789,-12.52118215200788,0.4606141876658942,5.477668079332882,0.425020031183528,Polaris
2,3,121930,1975,67,1,0.0152145483860357,0.0028204634215176,-2.997574136866279,0.1608748651642748,0.7175212523526321,0.1496706579421926,Polaris
3,4,121930,1975,67,2,0.1181118666801052,1300.7790445958894,1.3239840686430706,10.731620071954012,0.2495451543093205,798.5768808881401,Polaris
4,5,121930,1975,65,1,0.065813325471694,2254.9903336123457,1.2982290437250898,154.2646496260777,0.2455172978132207,2361.2432666691398,Polaris
5,6,121930,1975,65,2,0.0025244275173787,0.0,-0.6125837470986736,0.0,3.564322482285116,0.0,Polaris
6,7,121930,1975,CO,1,0.8590327531641894,0.1606221772688964,1.3328599257583746,0.1196038901402842,0.5693614900442363,0.1258359998460109,Polaris
7,8,121930,1975,CO,2,0.1602596214452736,0.0,1.2982290437250898,0.0,0.2455172978132207,0.0,Polaris
0,1,122220,1875,HI,1,10.443771755387138,1.6292635445020878,-12.628354997037505,0.2258001693744554,1.316190391862326,0.2582879376117862,Polaris
1,2,122220,1875,HI,2,19.8281856968273,1.001218474388122,-8.541770350600311,0.5416762521332276,9.482400699288652,0.3782187082996063,Polaris
2,3,122220,1875,HI,3,5.199264799510459,1.425286271073777,0.0662839614808998,0.6834974351833287,2.496086570414954,0.8584172313962299,Polaris
3,4,122220,1875,67,1,0.0271754146142727,0.0024031818752719,1.9996064048182447,0.0825096177788505,0.8033915336860523,0.0817219491085965,Polaris
4,5,122220,1875,67,2,0.0021247081740641,0.0,-12.628354997037505,0.0,1.316190391862326,0.0,Polaris
5,6,122220,1875,67,3,0.0021247081740641,0.0,-8.541770350600311,0.0,9.482400699288652,0.0,Polaris
6,7,122220,1875,65,1,0.0135801906649431,0.0019096888234702,1.981341040261652,0.1874417623019164,1.1540463365715046,0.1874406816358452,Polaris
7,8,122220,1875,65,2,0.0024103077839866,0.0,-12.628354997037505,0.0,1.316190391862326,0.0,Polaris
8,9,122220,1875,65,3,0.0024103077839866,0.0,-8.541770350600311,0.0,9.482400699288652,0.0,Polaris
9,10,122220,1875,CO,1,2.180063760006624,4531.473308427365,1.9646760065415096,19.727884019582064,0.1920400966722775,139.5307874599467,Polaris
10,11,122220,1875,CO,2,0.1207911877396987,0.0,1.981341040261652,0.0,1.1540463365715046,0.0,Polaris
